original_path,destination_path,category,bytes,sha256,status
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-006.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-006.png,RESEARCH,248454,2855ccfa7a34524db88a578056faf0c6f4b74f86652efee98d073946299632db,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-007.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-007.png,RESEARCH,254272,e1296b7e5135acd988e16701ca8358b20a081b0c2a6add04ec8b04c2541dc5fe,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-008.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-008.png,RESEARCH,188976,a94b5e9f97aeb05cc780a31496e9b465a42ac6d720af4e2e5bbbfd1a93d7c5b9,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-009.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-009.png,RESEARCH,246835,1359ec63fe579c99bf09a7f1a47801c6af9ca8e89fa09d1d62b6c6a5c35c381f,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-010.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-010.png,RESEARCH,237494,93fd9522970c7208ef2779b965200d2d1a54158ca8ba5517371c769aecb233ef,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-011.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-011.png,RESEARCH,246855,478f937b9e04fb2edba2cfdaf839fa2b8e16c6fbe1c8f4859674578c2c2e4c8a,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-012.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-012.png,RESEARCH,271646,2a59b1682db8c0ddaf585628ef5381fa53e68cdfbe4aa3ca5ea590a66b25800c,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-013.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-013.png,RESEARCH,286850,08e48a683c7d2e93846bdb8b593059a1ae58abd7263b52f81b9529dc14b2da7c,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-014.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-014.png,RESEARCH,297820,6ec35b133319e18c3dfefb659606bd32564a035607f5e1d645954d690cabed3f,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-015.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-015.png,RESEARCH,288618,00f176e661f44fd20c91c13f11cf1bf910008b2a60999bcf787eb9baded6e8c1,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-016.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-016.png,RESEARCH,298359,4b1daefea2eeaae6bb4e9b27dab6cea7d1ce07d73f437babf8b7808de424b7f2,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-017.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-017.png,RESEARCH,303824,7cad405c54a728d59d86838962df82421ac92ae3de1acad5f1ea3ea995bea029,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-018.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-018.png,RESEARCH,309998,a73c716d246c62d4535ff1ae3717106cf70a1f74d0a419d8324da327f77b5152,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-019.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-019.png,RESEARCH,335682,b3869ce6682982ea3dc8721579fbba9180bf0df0a321af64558a00be2424015c,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-020.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-020.png,RESEARCH,296223,cb9216a998de9af38fb66ad747ad5939aa027e49643baf0bf5778e6c0153e146,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-021.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-021.png,RESEARCH,294957,13315ccf96f24632037d661e6d0b49935adefaf10f4d37d66b8534b7bdcf8cf1,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-022.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-022.png,RESEARCH,339515,4269ef12557499a1cb8a62290cdf9ae14bf5447915bc8dbbe49b349813ba9bcd,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-023.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-023.png,RESEARCH,369815,870c8809a400c27fef21292f65d64ae0bcc5da3d0121b054c7a857610df1804f,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-024.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-024.png,RESEARCH,351744,000ff7c87c4bbf00909572e755a48f916d6c0afcc0a498381a14249f933f0c8c,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-025.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-025.png,RESEARCH,370859,ec763e319c38d157040b9c89e5b5420775b5445077d1650087e1b79511dd737c,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-026.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-026.png,RESEARCH,388114,4f73cc6352a9df027004f7596b44e0637290c2095138f9ecbb58e07d7816b339,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-027.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-027.png,RESEARCH,393774,b205f6f814204ca72d4ca17668c826fd8e97cbb3217471006f0545f69bc05e23,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-028.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-028.png,RESEARCH,398835,1cd51b1e588c510e6de65a8996413de0cbaff205b6c24ac0dddc060de9ffec92,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-029.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-029.png,RESEARCH,483252,0420b81c71709587eb76cd54f2fc44948f67759c6eeaa0993dc870fc93341d9d,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-030.png,research/source/INTELLIGENCE_CANDIDATES/Video_Observed_Behaviors/evidence/SEG-030.png,RESEARCH,709426,3be801a9124dc702f68d217e84b113ec1d208ab7039b97e826f23d7688cd09e5,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Watercolor_Behaviors/Watercolor_Behavior_Candidates_v1.6.4.json,research/source/INTELLIGENCE_CANDIDATES/Watercolor_Behaviors/Watercolor_Behavior_Candidates_v1.6.4.json,RESEARCH,4487,2f7471e8dc89830bb9c270c541589cf56d3a871eddbeae8efca44ab732ccadbc,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Watercolor_Brush/INK_Watercolor_Brush_Artwork_Profiles_v2.json,research/source/INTELLIGENCE_CANDIDATES/Watercolor_Brush/INK_Watercolor_Brush_Artwork_Profiles_v2.json,RESEARCH,1080,d083be10efec6bb13ee93383fc9343bb1341498958367c1d26c210432de958c8,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Watercolor_Materials/INK_Procedural_Paper_Overlay_v1.json,research/source/INTELLIGENCE_CANDIDATES/Watercolor_Materials/INK_Procedural_Paper_Overlay_v1.json,RESEARCH,645,3612f0b7a65f1c1986eb59edf4acc7c322fd45c0add99ad3ec89140ac0ae8e54,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Watercolor_Materials/Watercolor_Material_Candidates_v1.6.4.json,research/source/INTELLIGENCE_CANDIDATES/Watercolor_Materials/Watercolor_Material_Candidates_v1.6.4.json,RESEARCH,1472,9b22905ef07389694f8afd8f974ad698357de271f1386c65a5822f3094ec0af0,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Watercolor_Recipes/Watercolor_Benchmark_Batch_03_Recipe_Evidence.json,research/source/INTELLIGENCE_CANDIDATES/Watercolor_Recipes/Watercolor_Benchmark_Batch_03_Recipe_Evidence.json,RESEARCH,232512,4f5ecc7a19d8ecf58438e916dc8303cc40f1e1c178d8ef21cfdc88dacdcce990,COPIED
INK_Core_Main_Program_v1.6.5_RC/INTELLIGENCE_CANDIDATES/Watercolor_Structures/Watercolor_Structure_Candidates_v1.6.4.json,research/source/INTELLIGENCE_CANDIDATES/Watercolor_Structures/Watercolor_Structure_Candidates_v1.6.4.json,RESEARCH,434,4280ed1f2e8e016a4f16b8f51ed904d5a42d664f3958fdc31e762dfcca7c1c31,COPIED
INK_Core_Main_Program_v1.6.5_RC/REPLACEMENT_AND_VERSION_INFO_v1.6.3.md,ARCHIVE/historical/REPLACEMENT_AND_VERSION_INFO_v1.6.3.md,ARCHIVE_CANDIDATE,1193,aa1a5d1dd778789e890133d2b899792e27a3e29b47c070c7b7aa8ce448673ad4,ARCHIVED
INK_Core_Main_Program_v1.6.5_RC/REPLACEMENT_INSTRUCTIONS_v1.6.4.md,ARCHIVE/historical/REPLACEMENT_INSTRUCTIONS_v1.6.4.md,ARCHIVE_CANDIDATE,448,471dc5a5ad6cedab9ca7e059633c845d6d009e31371de440485db482a3dfa20f,ARCHIVED
INK_Core_Main_Program_v1.6.5_RC/REPLACEMENT_INSTRUCTIONS_v1.6.5.md,ARCHIVE/historical/REPLACEMENT_INSTRUCTIONS_v1.6.5.md,ARCHIVE_CANDIDATE,358,1b0ccf9ed2d9f68865da9a9ac627c2804029d232e5baa19629ba14a22eb317c2,ARCHIVED
INK_Core_Main_Program_v1.6.5_RC/SHA256SUMS_v1.6.3.txt,ARCHIVE/historical/SHA256SUMS_v1.6.3.txt,ARCHIVE_CANDIDATE,178300,1619232905baf96d2d11393b6319bb49a516b78e11bae9c53a8ed116a30852ff,ARCHIVED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/baseline-batch01/Case_01_Fleurify_Outline.png,qa/validation/Validation/v1.6.2/baseline-batch01/Case_01_Fleurify_Outline.png,QA,17655,e0acadcb79fc5bb23797c8a458c835c3eb1a0f4d66d16d18d58c32f8e33d1023,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/baseline-batch01/Case_02_Petal_Leaf_Templates.png,qa/validation/Validation/v1.6.2/baseline-batch01/Case_02_Petal_Leaf_Templates.png,QA,11386,244def4d7f9177f49499aaf4fa717d932dfc6602e0028889c36b08355188f3b2,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/baseline-batch01/Case_03_Radial_Petal_Assembly.png,qa/validation/Validation/v1.6.2/baseline-batch01/Case_03_Radial_Petal_Assembly.png,QA,19642,9556efb01b90cd9126415c5073a0c5f44cdec2d7c2e74040c980e1f5f5d0a61c,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/baseline-batch01/Case_04_Multilayer_Corolla.png,qa/validation/Validation/v1.6.2/baseline-batch01/Case_04_Multilayer_Corolla.png,QA,34462,de8d85631c7c03a4f470ba2dc6226f20d75e19d720bbbf118c44d09bd5edb601,COPIED
